,head,variable,value,prob,tail
0,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,l_text_topics,topic_12,0.3121714516781237,topic_12
1,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_10,0.3368378487666801,topic_10
2,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,l_text_topics,topic_2,0.9987868985038416,topic_2
3,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_2,0.3552365547917509,topic_2
4,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_2,0.0578245046502224,topic_2
5,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,l_text_topics,topic_13,0.7886170642943794,topic_13
6,Course1_W3-S1-L1_Introduction_0-28,l_text_topics,topic_5,0.040436716538617,topic_5
7,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,l_text_topics,topic_0,0.0361908613020622,topic_0
8,Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11,l_text_topics,topic_14,0.8288515972503033,topic_14
9,Course2_W6-S2-L2_Charniaks_Model_18-23,l_text_topics,topic_13,0.0251718560452891,topic_13
10,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,l_text_topics,topic_2,0.0018196522442377,topic_2
11,Course1_W9-S2-L5_GLMs_for_Parse_Reranking_10-36,l_text_topics,topic_3,0.9970683380509504,topic_3
12,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,l_text_topics,topic_5,0.2141124140719773,topic_5
13,Course1_W5-S1-L2_introduction_2-03,l_text_topics,topic_6,0.2345329559239789,topic_6
14,Course1_W4-S2-L7_Evaluation_of_Lexicalized_PCFGs_Part_2_11-28,l_text_topics,topic_5,0.5279013344116459,topic_5
15,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,l_text_topics,topic_14,0.0436716538617064,topic_14
16,Course1_W6-S2-L1_Definition_of_the_Decoding_Problem_Part_1_9-12,l_text_topics,topic_8,0.6705418520016174,topic_8
17,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,l_text_topics,topic_10,0.2443388596845936,topic_10
